#	Date	Country, Other	Cases in the last 7 days	Cases in the preceding 7 days	Weekly case /%/ change	Cases in the last 7 days/1M pop	Deaths in the last 7 days	Deaths in the preceding 7 days	Weekly Death /%/ change	Deaths in the last 7 days/1M pop	Population	Continent
1	29:11:2021	USA	413,934	663,750	-38%	1,240	4,755	7,377	-36%	14	333,733,637	North America
2	29:11:2021	Germany	404,769	339,756	+19%	4,809	1,798	1,419	+27%	21	84,160,960	Europe
3	29:11:2021	UK	302,319	284,344	+6%	4,421	848	1,029	-18%	12	68,387,784	Europe
4	29:11:2021	Russia	239,215	260,484	-8%	1,638	8,660	8,709	-1%	59	146,022,541	Europe
5	29:11:2021	France	205,077	127,326	+61%	3,132	433	307	+41%	7	65,476,789	Europe
6	29:11:2021	Turkey	174,501	163,388	+7%	2,038	1,404	1,511	-7%	16	85,615,390	Asia
7	29:11:2021	Poland	162,417	140,918	+15%	4,298	2,215	1,955	+13%	59	37,788,261	Europe
8	29:11:2021	Netherlands	157,293	147,179	+7%	9,151	351	232	+51%	20	17,188,231	Europe
9	29:11:2021	Czechia	127,475	104,636	+22%	11,873	692	626	+11%	64	10,736,943	Europe
10	29:11:2021	Belgium	105,871	101,850	+4%	9,079	237	255	-7%	20	11,660,599	Europe
11	29:11:2021	Ukraine	89,080	115,304	-23%	2,054	3,845	4,567	-16%	89	43,363,807	Europe
12	29:11:2021	Vietnam	88,089	69,717	+26%	894	1,121	679	+65%	11	98,570,511	Asia
13	29:11:2021	Austria	86,670	96,961	-11%	9,547	373	309	+21%	41	9,078,703	Europe
14	29:11:2021	Italy	82,131	65,571	+25%	1,361	483	401	+20%	8	60,336,672	Europe
15	29:11:2021	Hungary	70,400	58,704	+20%	7,314	1,086	913	+19%	113	9,625,818	Europe
16	29:11:2021	Brazil	63,630	59,309	+7%	296	1,592	1,404	+13%	7	214,685,129	South America
17	29:11:2021	India	61,931	71,365	-13%	44	2,879	2,256	+28%	2	1,399,087,302	Asia
18	29:11:2021	Slovakia	57,821	50,040	+16%	10,583	413	324	+27%	76	5,463,364	Europe
19	29:11:2021	Switzerland	48,636	36,502	+33%	5,562	60	87	-31%	7	8,743,663	Europe
20	29:11:2021	Greece	45,586	47,046	-3%	4,404	646	547	+18%	62	10,351,371	Europe
21	29:11:2021	Thailand	42,232	46,171	-9%	603	320	351	-9%	5	70,046,474	Asia
22	29:11:2021	Spain	39,765	37,559	+6%	850	131	123	+7%	3	46,780,268	Europe
23	29:11:2021	Malaysia	37,215	40,292	-8%	1,129	307	326	-6%	9	32,949,075	Asia
24	29:11:2021	Croatia	32,936	31,628	+4%	8,093	456	422	+8%	112	4,069,620	Europe
25	29:11:2021	Iran	31,444	39,720	-21%	368	673	789	-15%	8	85,504,572	Asia
26	29:11:2021	Ireland	31,090	30,516	+2%	6,199	43	43	0%	9	5,015,353	Europe
27	29:11:2021	Denmark	28,836	26,769	+8%	4,954	62	43	+44%	11	5,820,906	Europe
28	29:11:2021	Jordan	28,456	22,726	+25%	2,751	190	123	+54%	18	10,345,598	Asia
29	29:11:2021	Georgia	26,393	28,155	-6%	6,634	429	523	-18%	108	3,978,387	Asia
30	29:11:2021	S. Korea	25,471	19,965	+28%	496	274	171	+60%	5	51,331,289	Asia
31	29:11:2021	Mexico	20,655	17,346	+19%	158	1,487	1,283	+16%	11	130,837,902	North America
32	29:11:2021	Portugal	20,424	14,795	+38%	2,011	96	64	+50%	9	10,154,853	Europe
33	29:11:2021	Canada	18,455	17,494	+5%	483	130	163	-20%	3	38,207,636	North America
34	29:11:2021	Norway	18,010	14,385	+25%	3,286	25	75	-67%	5	5,480,875	Europe
35	29:11:2021	Serbia	17,336	21,894	-21%	1,995	363	386	-6%	42	8,687,821	Europe
36	29:11:2021	Colombia	17,312	16,116	+7%	335	344	284	+21%	7	51,645,633	South America
37	29:11:2021	Slovenia	16,682	22,545	-26%	8,023	125	122	+2%	60	2,079,340	Europe
38	29:11:2021	Chile	16,268	16,656	-2%	841	196	142	+38%	10	19,347,024	South America
39	29:11:2021	Bulgaria	16,068	17,641	-9%	2,337	848	974	-13%	123	6,874,790	Europe
40	29:11:2021	Romania	14,248	20,397	-30%	748	1,110	1,643	-32%	58	19,056,987	Europe
41	29:11:2021	South Africa	13,828	3,947	+250%	229	223	90	+148%	4	60,360,124	Africa
42	29:11:2021	Lithuania	12,336	12,340	0.0%	4,622	172	205	-16%	64	2,668,788	Europe
43	29:11:2021	Azerbaijan	11,809	13,121	-10%	1,150	183	179	+2%	18	10,267,726	Asia
44	29:11:2021	Belarus	11,633	12,728	-9%	1,232	106	100	+6%	11	9,444,948	Europe
45	29:11:2021	Argentina	11,100	9,606	+16%	242	152	145	+5%	3	45,779,126	South America
46	29:11:2021	Singapore	10,195	14,985	-32%	1,724	39	76	-49%	7	5,915,068	Asia
47	29:11:2021	Peru	9,731	9,801	-0.7%	289	242	231	+5%	7	33,617,584	South America
48	29:11:2021	Australia	9,538	8,856	+8%	368	50	62	-19%	2	25,915,946	Australia/Oceania
49	29:11:2021	Laos	9,358	7,968	+17%	1,261	27	33	-18%	4	7,423,978	Asia
